,pearson_correlation
connective cells: kurtosis of their contrast,-0.004594406361922454
no-neoplastic cells: skew of their axis_major_length,-0.004678273881529038
inflamatory cells: skew of their energy,-0.005024648751683457
inflamatory cells: std of their perimeter,-0.00934886724444
necrosis cells: skew of their axis_minor_length,-0.009698522328589984
inflamatory cells: kurtosis of their dissimilarity,-0.01002464000801327
necrosis cells: skew of their eccentricity,-0.010061114439254618
no-neoplastic cells: skew of their homogeneity,-0.010319594061918007
necrosis cells: std of their homogeneity,-0.010798127814133156
neoplastic cells: skew of their axis_minor_length,-0.011041718863820637
necrosis cells: mean of their orientation,-0.011531377776125456
no-neoplastic cells: kurtosis of their axis_major_length,-0.013315832649161382
necrosis cells: kurtosis of their dissimilarity,-0.013622957588076445
connective cells: std of their solidity,-0.013629259574817
connective cells: skew of their eccentricity,-0.013629615963429664
Infiltration of necrosis cells in neoplastic region,-0.01401401438743267
neoplastic cells: std of their axis_minor_length,-0.014074691844723658
neoplastic cells: skew of their area,-0.014898560157984037
necrosis cells: std of their eccentricity,-0.015412480203388056
necrosis cells: kurtosis of their eccentricity,-0.015798847439590716
necrosis cells: std of their dissimilarity,-0.016741370670178522
necrosis cells: skew of their intensity_skew,-0.017488388772463486
necrosis cells: mean of their solidity,-0.017526730471467473
connective cells: kurtosis of their axis_major_length,-0.018518718823106843
inflamatory cells: skew of their eccentricity,-0.018953696182407297
connective cells: kurtosis of their intensity_std,-0.018956212382623943
kurtosis of cells' closeness_centrality,-0.019712447576513203
neoplastic cells: skew of their axis_major_length,-0.020460210787135388
connective cells: skew of their intesntiy_kurtosis,-0.02084537235215461
inflamatory cells: std of their homogeneity,-0.020846992938427924
no-neoplastic cells: kurtosis of their orientation,-0.021054676384497175
connective cells: std of their intensity_skew,-0.02147672087458745
necrosis cells: std of their orientation,-0.022100103251290207
necrosis cells: std of their intensity_skew,-0.02211910000252105
no-neoplastic cells: kurtosis of their perimeter,-0.022253348191411105
connective cells: mean of their orientation,-0.022413657051818192
necrosis cells: std of their energy,-0.022859422778495075
necrosis cells: skew of their solidity,-0.02291117033559652
neoplastic cells: skew of their perimeter,-0.023264468476916024
connective cells: kurtosis of their dissimilarity,-0.023745111145700583
necrosis cells: std of their solidity,-0.023910683656000437
connective cells: kurtosis of their perimeter,-0.024092020393433503
connective cells: skew of their intensity_skew,-0.02424997989395318
connective cells: kurtosis of their area,-0.02461191705321258
inflamatory cells: skew of their homogeneity,-0.024871070852954064
neoplastic cells: kurtosis of their axis_major_length,-0.02580700950858593
connective cells: std of their area,-0.02624103327369952
connective cells: std of their dissimilarity,-0.02657366198592145
Gloabl Renyi entropy (at alpha=infinity),-0.0266121265890077
connective cells: kurtosis of their axis_minor_length,-0.027592556330509936
neoplastic cells: std of their area,-0.02792605181233006
connective cells: std of their orientation,-0.028383855095249676
necrosis cells: std of their contrast,-0.028776809303982312
connective cells: kurtosis of their intensity_skew,-0.029226890648507173
connective cells: mean of their area,-0.030313585976785875
inflamatory cells: kurtosis of their solidity,-0.030983763830563716
no-neoplastic cells: mean of their axis_major_length,-0.031331703922165
connective cells: kurtosis of their solidity,-0.03316309548703363
neoplastic cells: kurtosis of their orientation,-0.03467617805976915
no-neoplastic cells: skew of their solidity,-0.034971165386674594
neoplastic cells: skew of their energy,-0.035701745781523936
connective cells: kurtosis of their intesntiy_kurtosis,-0.036425631897935316
inflamatory cells: kurtosis of their intensity_mean,-0.03696880649667839
neoplastic cells: skew of their homogeneity,-0.038175638124392536
no-neoplastic cells: mean of their perimeter,-0.03891778840372388
Infiltration of connective cells in neoplastic region,-0.039268252201208415
no-neoplastic cells: skew of their eccentricity,-0.04062089320227955
neoplastic cells: std of their eccentricity,-0.04106398572457129
connective cells: kurtosis of their orientation,-0.04127071672579621
inflamatory cells: kurtosis of their intensity_skew,-0.04138912354183553
connective cells: kurtosis of their energy,-0.04180737068770959
connective cells: kurtosis of their homogeneity,-0.04199530791584968
inflamatory cells: kurtosis of their eccentricity,-0.042041030615277857
inflamatory cells: kurtosis of their energy,-0.042274760122792195
inflamatory cells: std of their dissimilarity,-0.043122174142144865
inflamatory cells: kurtosis of their homogeneity,-0.0432565819704165
Infiltration of inflamatory cells in neoplastic region,-0.04421854445637123
connective cells: skew of their homogeneity,-0.045550097025194226
inflamatory cells: std of their intensity_skew,-0.046972957508502916
no-neoplastic cells: mean of their area,-0.046997390811519046
Gloabl Shannon index,-0.04820870136602396
inflamatory cells: std of their energy,-0.04941767631705567
neoplastic cells: skew of their eccentricity,-0.05040123578310412
necrosis cells: std of their intensity_std,-0.05047963541661779
connective cells: skew of their energy,-0.051065092551855665
neoplastic cells: std of their dissimilarity,-0.051128019459304994
inflamatory cells: kurtosis of their orientation,-0.051212661265652715
Graph modularity with cell types as community,-0.05133123368533821
connective cells: std of their intensity_std,-0.0516023803043209
Infiltration of no-neoplastic cells in neoplastic region,-0.052851152721891205
necrosis cells: std of their intensity_mean,-0.05380442835239985
neoplastic cells: kurtosis of their homogeneity,-0.055637747534506565
neoplastic cells: kurtosis of their area,-0.05695712297386834
kurtosis of cells' clustering_coefficient,-0.05956849859915027
neoplastic cells: kurtosis of their perimeter,-0.06013135641028992
neoplastic cells: kurtosis of their energy,-0.06032702401265171
neoplastic cells: mean of their orientation,-0.06121169885917765
inflamatory cells: kurtosis of their area,-0.06280007866247603
no-neoplastic cells: mean of their axis_minor_length,-0.06285809272696766
no-neoplastic cells: mean of their dissimilarity,-0.06524744915146316
inflamatory cells: std of their area,-0.06559924713869736
connective cells: std of their axis_minor_length,-0.06593999608039376
inflamatory cells: mean of their orientation,-0.06648790531410591
neoplastic cells: kurtosis of their axis_minor_length,-0.06679984616130372
connective cells: std of their eccentricity,-0.066834315787747
inflamatory cells: kurtosis of their axis_minor_length,-0.06773519999074902
skew of cells' degree,-0.0694842531820774
skew of cells' degree_centrality,-0.06948425318207758
neoplastic cells: mean of their perimeter,-0.06963857544152692
inflamatory cells: std of their axis_minor_length,-0.07017913035024347
necrosis cells: mean of their dissimilarity,-0.07022421058196664
inflamatory cells: mean of their dissimilarity,-0.07095418174986687
neoplastic cells: mean of their axis_major_length,-0.07273478543488715
connective cells: std of their contrast,-0.07294127107681556
no-neoplastic cells: mean of their solidity,-0.0761010097043833
neoplastic cells: mean of their axis_minor_length,-0.07695688155865675
neoplastic cells: kurtosis of their solidity,-0.07758743048291879
neoplastic cells: mean of their area,-0.0779549783073509
inflamatory cells: kurtosis of their axis_major_length,-0.07797773827987323
no-neoplastic cells: mean of their intensity_std,-0.07926002042005399
necrosis cells: std of their axis_major_length,-0.07931959029426817
connective cells: mean of their axis_minor_length,-0.08019398566811929
no-neoplastic cells: mean of their contrast,-0.0804287329217247
inflamatory cells: kurtosis of their perimeter,-0.08247869914341815
inflamatory cells: std of their intensity_std,-0.08596230880904307
connective cells: mean of their intensity_std,-0.08649264622591929
inflamatory cells: std of their intensity_mean,-0.08763006736274878
inflamatory cells: std of their orientation,-0.08804299070081992
necrosis cells: std of their perimeter,-0.09038460900015165
connective cells: mean of their dissimilarity,-0.09280676211544137
inflamatory cells: std of their contrast,-0.0947872382841033
std of cells' degree_centrality,-0.09646881814203873
connective cells: std of their intensity_mean,-0.09771339843486775
necrosis cells: std of their axis_minor_length,-0.09974581721445964
connective cells: mean of their solidity,-0.10006127699095878
min of cells' degree_centrality,-0.1032877211233357
mean of cells' degree_centrality,-0.10370146171769581
necrosis cells: std of their area,-0.10435950643151928
inflamatory cells: std of their eccentricity,-0.10560285365141714
no-neoplastic cells: mean of their intensity_mean,-0.10652624209175643
max of cells' degree_centrality,-0.10922149058470718
skew of cells' clustering_coefficient,-0.10971789688046629
inflamatory cells: mean of their intensity_std,-0.10973142771989249
necrosis cells: mean of their contrast,-0.11008745364570484
connective cells: mean of their contrast,-0.11715315082682937
inflamatory cells: mean of their solidity,-0.11753058264708341
neoplastic cells: mean of their intensity_std,-0.12456166457466133
connective cells: mean of their intensity_mean,-0.12497752060637422
inflamatory cells: mean of their contrast,-0.12732097112880944
necrosis cells: mean of their intensity_std,-0.1314647746164781
kurtosis of cells' degree,-0.13216983991919945
kurtosis of cells' degree_centrality,-0.13216983991919953
neoplastic cells: std of their intensity_mean,-0.13737427752264844
min of cells' closeness_centrality,-0.13777036648008117
min of cells' clustering_coefficient,-0.138971497395185
neoplastic cells: mean of their solidity,-0.1433096873753142
necrosis cells: mean of their axis_minor_length,-0.14469992318315006
necrosis cells: mean of their area,-0.1497061071629804
mean of cells' degree,-0.15237675292809139
necrosis cells: mean of their axis_major_length,-0.1527525246000597
inflamatory cells: mean of their intensity_mean,-0.15403000609367834
necrosis cells: mean of their perimeter,-0.15467919794714827
neoplastic cells: std of their contrast,-0.15523791249535662
std of cells' degree,-0.1560668098159448
mean of cells' closeness_centrality,-0.16455256424222114
mean of cells' clustering_coefficient,-0.165062856908035
neoplastic cells: mean of their intensity_mean,-0.1651110077408375
inflamatory cells: mean of their axis_minor_length,-0.16549019587849526
max of cells' closeness_centrality,-0.1684130024956115
necrosis cells: mean of their intensity_mean,-0.17110832215976143
inflamatory cells: mean of their area,-0.17743846967962887
neoplastic cells: mean of their dissimilarity,-0.179067304659054
std of cells' clustering_coefficient,-0.17936189698380325
max of cells' clustering_coefficient,-0.1798168585438469
inflamatory cells: mean of their perimeter,-0.1806809186075746
std of cells' closeness_centrality,-0.18407045448034615
inflamatory cells: mean of their axis_major_length,-0.18773418492838584
neoplastic cells: mean of their contrast,-0.2082118729257665
max of cells' degree,-0.2104357636842594
neoplastic cells: k-function at radius 896 pixels,-0.28761003369456695
neoplastic cells: k-function at radius 224 pixels,-0.30015159189032153
neoplastic cells: k-function at radius 672 pixels,-0.30333396991447054
neoplastic cells: k-function at radius 448 pixels,-0.3068281309185902
percent_of_background_region,-0.492544377490796
