,mean_in_high_group,mean_in_baseline_group,mean_difference (high - base),abs_difference
percent_of_tissue_region,0.599116875923482,0.4539931336076854,0.14512374231579656,0.14512374231579656
connective cells: kurtosis of their perimeter,-0.771389507166373,-0.6288969931230458,-0.1424925140433272,0.1424925140433272
inflamatory cells: kurtosis of their intensity_mean,-0.48636875161538495,-0.3440728979530945,-0.14229585366229047,0.14229585366229047
inflamatory cells: kurtosis of their intesntiy_kurtosis,-0.5667122052356067,-0.4250030185650408,-0.14170918667056592,0.14170918667056592
connective cells: skew of their intesntiy_kurtosis,0.6241191734544758,0.7599561120440302,-0.13583693858955448,0.13583693858955448
neoplastic cells: std of their dissimilarity,2.6091148166907083,2.473600724653144,0.13551409203756437,0.13551409203756437
necrosis cells: kurtosis of their energy,-0.10267143037980739,-0.23774274566189377,0.13507131528208638,0.13507131528208638
connective cells: kurtosis of their intensity_skew,-0.7278559692623673,-0.5944667698014688,-0.13338919946089844,0.13338919946089844
connective cells: skew of their eccentricity,-0.9183171916697843,-1.05049382767519,0.13217663600540575,0.13217663600540575
neoplastic cells: kurtosis of their solidity,0.4490987814063751,0.5795199366560493,-0.13042115524967418,0.13042115524967418
necrosis cells: kurtosis of their perimeter,-0.2306316474784065,-0.3595572365517454,0.12892558907333887,0.12892558907333887
Gloabl Simpson index,0.5436186983675616,0.6721733246880225,-0.12855462632046089,0.12855462632046089
neoplastic cells: std of their perimeter,19.61353050081369,19.48501625796253,0.12851424285116053,0.12851424285116053
no-neoplastic cells: skew of their contrast,0.6537887417522443,0.5264105014622361,0.12737824029000822,0.12737824029000822
neoplastic cells: std of their axis_major_length,7.235486771403843,7.110709354076825,0.12477741732701819,0.12477741732701819
inflamatory cells: kurtosis of their intensity_std,-0.7134045541887343,-0.5887265921332493,-0.12467796205548498,0.12467796205548498
no-neoplastic cells: kurtosis of their intesntiy_kurtosis,-0.381336590389304,-0.2624016773754246,-0.11893491301387943,0.11893491301387943
inflamatory cells: kurtosis of their energy,-0.44765232407762545,-0.3298508073530062,-0.11780151672461925,0.11780151672461925
connective cells: std of their intensity_std,4.644134213650147,4.530518378380695,0.11361583526945207,0.11361583526945207
necrosis cells: skew of their area,0.973088792759809,0.8622381353610282,0.11085065739878075,0.11085065739878075
no-neoplastic cells: skew of their solidity,-1.0010683350714413,-0.8918820463924446,-0.10918628867899671,0.10918628867899671
no-neoplastic cells: kurtosis of their area,-0.6897119313707482,-0.5873758109964579,-0.1023361203742903,0.1023361203742903
necrosis cells: mean of their intesntiy_kurtosis,-0.20842058414113615,-0.10615502984299757,-0.10226555429813858,0.10226555429813858
necrosis cells: kurtosis of their intensity_mean,-0.6179435607086009,-0.5161292003292438,-0.1018143603793571,0.1018143603793571
necrosis cells: skew of their intesntiy_kurtosis,0.9024664676254162,0.8023689292082975,0.10009753841711866,0.10009753841711866
inflamatory cells: mean of their intesntiy_kurtosis,0.4337706595106759,0.533584244804443,-0.0998135852937671,0.0998135852937671
connective cells: skew of their perimeter,0.11547379116640952,0.21274139717039786,-0.09726760600398834,0.09726760600398834
no-neoplastic cells: skew of their axis_minor_length,-0.04112114188859698,0.053853255993326805,-0.09497439788192379,0.09497439788192379
connective cells: skew of their axis_major_length,0.2164210648916949,0.3090407116256683,-0.09261964673397341,0.09261964673397341
inflamatory cells: std of their dissimilarity,3.2321638778148682,3.1434960214098657,0.08866785640500252,0.08866785640500252
Infiltration of inflamatory cells in neoplastic region,0.21988751570369527,0.13481742713448913,0.08507008856920614,0.08507008856920614
no-neoplastic cells: kurtosis of their intensity_skew,-0.7983462898171511,-0.7141609097165469,-0.08418538010060417,0.08418538010060417
connective cells: skew of their intensity_mean,0.3089739929416755,0.3926815981012186,-0.08370760515954312,0.08370760515954312
connective cells: kurtosis of their homogeneity,-0.6752468146968084,-0.5919470331987691,-0.0832997814980393,0.0832997814980393
necrosis cells: skew of their perimeter,0.5943931272314018,0.5111281100384932,0.08326501719290857,0.08326501719290857
neoplastic cells: mean of their axis_minor_length,20.23187469497951,20.149275171446433,0.08259952353307654,0.08259952353307654
neoplastic cells: skew of their intensity_std,0.07344657328180315,0.1555164912743178,-0.08206991799251465,0.08206991799251465
connective cells: std of their dissimilarity,4.194239680718684,4.113805079442687,0.08043460127599644,0.08043460127599644
inflamatory cells: std of their axis_minor_length,3.220770770325308,3.141494467284578,0.07927630304072997,0.07927630304072997
neoplastic cells: skew of their area,0.2927886668971069,0.37199208235202824,-0.07920341545492132,0.07920341545492132
connective cells: mean of their axis_major_length,31.337162442743043,31.258288134695714,0.07887430804732887,0.07887430804732887
inflamatory cells: mean of their axis_major_length,22.22069498813419,22.298619697096996,-0.07792470896280435,0.07792470896280435
neoplastic cells: mean of their intesntiy_kurtosis,0.5376589033953761,0.614878200730624,-0.0772192973352479,0.0772192973352479
necrosis cells: skew of their intensity_skew,0.16592052768017782,0.08926652907433684,0.07665399860584098,0.07665399860584098
no-neoplastic cells: kurtosis of their intensity_std,-0.5868123515343081,-0.6631668445074895,0.07635449297318142,0.07635449297318142
connective cells: skew of their homogeneity,0.35597731538750826,0.2819386087159736,0.07403870667153467,0.07403870667153467
no-neoplastic cells: skew of their area,0.20037560357983647,0.2729318106533907,-0.07255620707355426,0.07255620707355426
necrosis cells: skew of their axis_major_length,0.5761645076644197,0.5044603952732278,0.0717041123911919,0.0717041123911919
neoplastic cells: skew of their perimeter,0.016619422332552418,0.08832336483539988,-0.07170394250284745,0.07170394250284745
no-neoplastic cells: skew of their dissimilarity,0.45345711958985946,0.3819127052353379,0.07154441435452158,0.07154441435452158
inflamatory cells: kurtosis of their contrast,-0.23797407281708122,-0.16739600761702753,-0.07057806520005369,0.07057806520005369
necrosis cells: kurtosis of their solidity,0.39254986278862264,0.46244199422844906,-0.06989213143982642,0.06989213143982642
inflamatory cells: kurtosis of their dissimilarity,-0.40010338104636656,-0.33146991271667237,-0.06863346832969419,0.06863346832969419
no-neoplastic cells: kurtosis of their axis_minor_length,-0.78441519189729,-0.7158608043833092,-0.0685543875139808,0.0685543875139808
connective cells: skew of their contrast,0.6397321714218268,0.7074450823024425,-0.0677129108806157,0.0677129108806157
inflamatory cells: kurtosis of their intensity_skew,-0.7733764719219461,-0.7060514656414839,-0.06732500628046223,0.06732500628046223
connective cells: skew of their energy,0.47708638367824135,0.41055566332405696,0.06653072035418439,0.06653072035418439
connective cells: kurtosis of their energy,-0.6068798840265719,-0.5416922835508015,-0.06518760047577044,0.06518760047577044
necrosis cells: kurtosis of their contrast,-0.24989814210518133,-0.18532190862776934,-0.06457623347741198,0.06457623347741198
inflamatory cells: skew of their eccentricity,-0.3302132495480287,-0.2665060307494762,-0.06370721879855251,0.06370721879855251
neoplastic cells: skew of their orientation,0.0671732023812462,0.003925834969567195,0.06324736741167901,0.06324736741167901
inflamatory cells: skew of their intesntiy_kurtosis,0.44684032273854296,0.5099715292492218,-0.06313120651067888,0.06313120651067888
no-neoplastic cells: std of their dissimilarity,3.0904031942179313,3.028130049048088,0.0622731451698435,0.0622731451698435
connective cells: skew of their dissimilarity,0.46783371952964614,0.5296901767641904,-0.06185645723454425,0.06185645723454425
no-neoplastic cells: skew of their perimeter,-0.011752597258344419,0.04981111595311964,-0.06156371321146406,0.06156371321146406
neoplastic cells: kurtosis of their area,-0.6902926194810989,-0.6290086490643084,-0.061283970416790456,0.061283970416790456
connective cells: skew of their intensity_std,0.005534182066389177,0.0661690565986643,-0.060634874532275125,0.060634874532275125
no-neoplastic cells: kurtosis of their eccentricity,-0.6603777845640426,-0.6004007626615822,-0.05997702190246046,0.05997702190246046
connective cells: skew of their area,0.41721726934588577,0.47643805453858873,-0.05922078519270296,0.05922078519270296
inflamatory cells: kurtosis of their solidity,0.19508474759874112,0.25340150495934866,-0.05831675736060754,0.05831675736060754
no-neoplastic cells: skew of their intensity_mean,0.3974958237132018,0.3418168645848418,0.05567895912836002,0.05567895912836002
Infiltration of no-neoplastic cells in neoplastic region,0.14379426205116852,0.0887214419913831,0.05507282005978542,0.05507282005978542
neoplastic cells: skew of their axis_major_length,0.11670037847162917,0.1714078092590234,-0.054707430787394234,0.054707430787394234
necrosis cells: mean of their orientation,0.04051857897116413,-0.014097238231871015,0.05461581720303514,0.05461581720303514
connective cells: kurtosis of their solidity,0.21608187837948628,0.2702875398329115,-0.0542056614534252,0.0542056614534252
no-neoplastic cells: kurtosis of their orientation,-0.9696809604081524,-0.9165340981658552,-0.053146862242297255,0.053146862242297255
connective cells: std of their intesntiy_kurtosis,0.5824311065630483,0.6352573565266357,-0.052826249963587424,0.052826249963587424
no-neoplastic cells: kurtosis of their dissimilarity,-0.3335368434404073,-0.38610337587589777,0.052566532435490476,0.052566532435490476
percent_of_cell_region,0.24004750801929675,0.1887888415998277,0.05125866641946905,0.05125866641946905
inflamatory cells: std of their intesntiy_kurtosis,0.7796880255387084,0.8307473584626001,-0.05105933292389164,0.05105933292389164
neoplastic cells: kurtosis of their energy,-0.4539649975424281,-0.40290642693071965,-0.05105857061170843,0.05105857061170843
neoplastic cells: skew of their eccentricity,-0.43592585221587976,-0.3849781236332722,-0.05094772858260754,0.05094772858260754
inflamatory cells: skew of their axis_minor_length,-0.13872417369488585,-0.08877116778517678,-0.04995300590970907,0.04995300590970907
no-neoplastic cells: kurtosis of their axis_major_length,-0.5219590165323269,-0.4720287933581128,-0.04993022317421408,0.04993022317421408
no-neoplastic cells: std of their intesntiy_kurtosis,0.8834984932882888,0.933365226152595,-0.04986673286430621,0.04986673286430621
no-neoplastic cells: std of their axis_minor_length,3.794931329144602,3.745694777806173,0.04923655133842875,0.04923655133842875
no-neoplastic cells: kurtosis of their homogeneity,-0.48567519612456966,-0.4390161416375251,-0.04665905448704455,0.04665905448704455
necrosis cells: kurtosis of their intensity_std,-0.6457324282668163,-0.5998225402458829,-0.04590988802093343,0.04590988802093343
inflamatory cells: skew of their solidity,-0.7365352965307225,-0.6907187602862674,-0.04581653624445503,0.04581653624445503
no-neoplastic cells: kurtosis of their energy,-0.30821187274171347,-0.2624467914944321,-0.04576508124728135,0.04576508124728135
necrosis cells: skew of their homogeneity,0.28619376252327255,0.3313384427863646,-0.04514468026309204,0.04514468026309204
neoplastic cells: kurtosis of their intesntiy_kurtosis,-0.30642374801690514,-0.26140080613999456,-0.04502294187691058,0.04502294187691058
max of cells' degree,8.94059405940594,8.985603543743078,-0.045009484337137806,0.045009484337137806
connective cells: std of their perimeter,22.312585373082552,22.35735550128823,-0.04477012820567694,0.04477012820567694
necrosis cells: kurtosis of their eccentricity,-0.5733431099790254,-0.6175851420082867,0.04424203202926136,0.04424203202926136
inflamatory cells: skew of their energy,0.3414249466122625,0.3850780497010251,-0.04365310308876258,0.04365310308876258
necrosis cells: mean of their intensity_skew,0.518614031728288,0.5620378244806066,-0.04342379275231856,0.04342379275231856
necrosis cells: skew of their eccentricity,-0.4325748277553614,-0.38945581296095527,-0.04311901479440611,0.04311901479440611
no-neoplastic cells: skew of their eccentricity,-0.43003966934207993,-0.3872203707364401,-0.04281929860563982,0.04281929860563982
connective cells: std of their orientation,0.6745351900329931,0.7160315421801303,-0.041496352147137205,0.041496352147137205
connective cells: mean of their intesntiy_kurtosis,1.0592028103744166e-05,0.04108581908478452,-0.04107522705668078,0.04107522705668078
neoplastic cells: skew of their axis_minor_length,0.05378539537082658,0.09390356717572389,-0.04011817180489731,0.04011817180489731
connective cells: skew of their intensity_skew,-0.013583952669424967,0.025972602025298778,-0.039556554694723745,0.039556554694723745
inflamatory cells: skew of their dissimilarity,0.4615867891904755,0.42226296422849013,0.03932382496198539,0.03932382496198539
inflamatory cells: skew of their perimeter,-0.2073661865521454,-0.16836222769064196,-0.03900395886150343,0.03900395886150343
neoplastic cells: kurtosis of their contrast,-0.3317904315044731,-0.2934496084557698,-0.03834082304870334,0.03834082304870334
inflamatory cells: skew of their axis_major_length,-0.11427586011532512,-0.07648597903665313,-0.03778988107867198,0.03778988107867198
neoplastic cells: std of their intesntiy_kurtosis,0.8291564714024326,0.8668406735408355,-0.037684202138402845,0.037684202138402845
inflamatory cells: skew of their area,0.06096852739602841,0.09796363802141034,-0.036995110625381925,0.036995110625381925
no-neoplastic cells: mean of their intesntiy_kurtosis,0.5571757091823282,0.593789322506438,-0.03661361332410984,0.03661361332410984
necrosis cells: skew of their contrast,0.5414178350729981,0.5773019632329518,-0.03588412815995368,0.03588412815995368
no-neoplastic cells: skew of their intensity_std,-0.006344747573871962,0.02757318075894065,-0.03391792833281261,0.03391792833281261
connective cells: skew of their orientation,0.08145255033016072,0.04768533913551015,0.033767211194650565,0.033767211194650565
connective cells: skew of their axis_minor_length,0.2542014733846602,0.2874910006328865,-0.033289527248226314,0.033289527248226314
Graph modularity with cell types as community,0.11953831447459515,0.08724470728398932,0.032293607190605825,0.032293607190605825
inflamatory cells: skew of their homogeneity,0.16220481426475386,0.19330874941171403,-0.031103935146960165,0.031103935146960165
necrosis cells: skew of their orientation,0.015442890968541277,0.04640820961583997,-0.030965318647298692,0.030965318647298692
no-neoplastic cells: skew of their axis_major_length,0.17083374873453777,0.20136415965262777,-0.03053041091809,0.03053041091809
inflamatory cells: kurtosis of their orientation,-1.013573476825112,-0.9833750651010447,-0.03019841172406723,0.03019841172406723
neoplastic cells: kurtosis of their intensity_std,-0.7186164667225601,-0.6885951091176383,-0.03002135760492175,0.03002135760492175
necrosis cells: skew of their intensity_std,0.15408490704520536,0.18391176696497052,-0.029826859919765164,0.029826859919765164
neoplastic cells: skew of their solidity,-1.002797606935716,-1.0315813318152296,0.028783724879513528,0.028783724879513528
neoplastic cells: skew of their homogeneity,0.36118681513137496,0.33362332396447025,0.027563491166904708,0.027563491166904708
inflamatory cells: mean of their intensity_skew,0.9699365225531202,0.9974768892951602,-0.027540366742039968,0.027540366742039968
inflamatory cells: kurtosis of their eccentricity,-0.684709237905789,-0.7114431410675297,0.026733903161740735,0.026733903161740735
connective cells: mean of their homogeneity,0.4196949663512816,0.44638480484628856,-0.026689838495006946,0.026689838495006946
no-neoplastic cells: mean of their eccentricity,0.7073554827510519,0.6808073981490561,0.02654808460199576,0.02654808460199576
inflamatory cells: skew of their intensity_skew,-0.05374687806150979,-0.027314265591778977,-0.02643261246973081,0.02643261246973081
neoplastic cells: mean of their intensity_skew,0.8090183977299658,0.835140315835853,-0.026121918105887265,0.026121918105887265
no-neoplastic cells: kurtosis of their perimeter,-0.598702738360009,-0.572592424850938,-0.026110313509071004,0.026110313509071004
inflamatory cells: skew of their orientation,0.06853291771124295,0.04265490170977221,0.025878016001470744,0.025878016001470744
inflamatory cells: mean of their eccentricity,0.6197337567461118,0.5945935247537399,0.02514023199237181,0.02514023199237181
neoplastic cells: skew of their dissimilarity,0.42208255348354384,0.4471979483242006,-0.02511539484065678,0.02511539484065678
neoplastic cells: skew of their contrast,0.5864825014120381,0.6113829831102211,-0.02490048169818304,0.02490048169818304
neoplastic cells: mean of their orientation,-0.024560699186121467,-3.9444477606149125e-05,-0.02452125470851532,0.02452125470851532
no-neoplastic cells: skew of their intesntiy_kurtosis,0.6078613170625381,0.6320080998978392,-0.02414678283530114,0.02414678283530114
kurtosis of cells' closeness_centrality,-0.9329810284270827,-0.9097284392302445,-0.023252589196838258,0.023252589196838258
inflamatory cells: skew of their contrast,0.5805775115248476,0.5573508096273471,0.023226701897500535,0.023226701897500535
neoplastic cells: skew of their energy,0.5077853086538214,0.530973039516977,-0.02318773086315562,0.02318773086315562
inflamatory cells: skew of their intensity_std,-0.10435683895474153,-0.08213539010726224,-0.022221448847479286,0.022221448847479286
neoplastic cells: kurtosis of their axis_minor_length,-0.8012121858486309,-0.7797826573417346,-0.021429528506896278,0.021429528506896278
neoplastic cells: kurtosis of their homogeneity,-0.578554477230096,-0.5995849804591298,0.02103050322903377,0.02103050322903377
no-neoplastic cells: kurtosis of their intensity_mean,-0.5454940004478589,-0.5659949498471936,0.020500949399334667,0.020500949399334667
neoplastic cells: std of their orientation,0.7493443201724379,0.7697367881894491,-0.020392468017011223,0.020392468017011223
neoplastic cells: mean of their eccentricity,0.7067960057514362,0.6864289600075248,0.02036704574391135,0.02036704574391135
neoplastic cells: kurtosis of their orientation,-0.9454690487018447,-0.9655090731543685,0.02004002445252384,0.02004002445252384
